Connecting to host 10.255.255.3, port 5001
[  6] local 10.255.255.1 port 41650 connected to 10.255.255.3 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec  83.4 KBytes  0.68 Mbits/sec    2   15.6 KBytes       
[  6]  19.00-20.00  sec  63.6 KBytes  0.52 Mbits/sec    0   19.8 KBytes       
[  6]  20.00-21.00  sec  0.00 Bytes  0.00 Mbits/sec    1   19.8 KBytes       
[  6]  21.00-22.00  sec   127 KBytes  1.05 Mbits/sec    4   7.07 KBytes       
[  6]  22.00-23.00  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  6]  23.00-24.00  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  6]  24.00-25.00  sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
[  6]  25.00-26.00  sec  63.6 KBytes  0.52 Mbits/sec    0   18.4 KBytes       
[  6]  26.00-27.00  sec  0.00 Bytes  0.00 Mbits/sec    0   21.2 KBytes       
[  6]  27.00-28.00  sec  63.6 KBytes  0.52 Mbits/sec    0   25.5 KBytes       
[  6]  28.00-29.00  sec  63.6 KBytes  0.52 Mbits/sec    0   28.3 KBytes       
[  6]  29.00-30.00  sec  63.6 KBytes  0.52 Mbits/sec    2   21.2 KBytes       
[  6]  30.00-31.00  sec  0.00 Bytes  0.00 Mbits/sec    2   15.6 KBytes       
[  6]  31.00-32.00  sec  63.6 KBytes  0.52 Mbits/sec    0   19.8 KBytes       
[  6]  32.00-33.00  sec  63.6 KBytes  0.52 Mbits/sec    0   22.6 KBytes       
[  6]  33.00-34.00  sec  0.00 Bytes  0.00 Mbits/sec    0   25.5 KBytes       
[  6]  34.00-35.00  sec  63.6 KBytes  0.52 Mbits/sec    0   28.3 KBytes       
[  6]  35.00-36.00  sec  63.6 KBytes  0.52 Mbits/sec    3   14.1 KBytes       
[  6]  36.00-37.00  sec  63.6 KBytes  0.52 Mbits/sec    3   17.0 KBytes       
[  6]  37.00-38.01  sec  0.00 Bytes  0.00 Mbits/sec    0   19.8 KBytes       
[  6]  38.01-39.01  sec  63.6 KBytes  0.52 Mbits/sec    0   22.6 KBytes       
[  6]  39.01-40.00  sec  63.6 KBytes  0.52 Mbits/sec    0   25.5 KBytes       
[  6]  40.00-41.00  sec  0.00 Bytes  0.00 Mbits/sec    1   25.5 KBytes       
[  6]  41.00-42.00  sec   130 KBytes  1.07 Mbits/sec    2   14.1 KBytes       
[  6]  42.00-43.00  sec  0.00 Bytes  0.00 Mbits/sec    3   9.90 KBytes       
[  6]  43.00-44.00  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  6]  44.00-45.00  sec  0.00 Bytes  0.00 Mbits/sec    2   5.66 KBytes       
[  6]  45.00-46.00  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  6]  46.00-47.00  sec  63.6 KBytes  0.52 Mbits/sec    1   8.48 KBytes       
[  6]  47.00-48.00  sec  0.00 Bytes  0.00 Mbits/sec    2   7.07 KBytes       
[  6]  48.00-49.00  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  6]  49.00-50.00  sec  0.00 Bytes  0.00 Mbits/sec    2   4.24 KBytes       
[  6]  50.00-51.00  sec  63.6 KBytes  0.52 Mbits/sec    0   8.48 KBytes       
[  6]  51.00-52.00  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  6]  52.00-53.00  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  6]  53.00-54.00  sec  63.6 KBytes  0.52 Mbits/sec    0   17.0 KBytes       
[  6]  54.00-55.00  sec  0.00 Bytes  0.00 Mbits/sec    2   11.3 KBytes       
[  6]  55.00-56.00  sec  63.6 KBytes  0.52 Mbits/sec    0   12.7 KBytes       
[  6]  56.00-57.00  sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
[  6]  57.00-58.00  sec  0.00 Bytes  0.00 Mbits/sec    2   8.48 KBytes       
[  6]  58.00-59.00  sec   127 KBytes  1.04 Mbits/sec    0   12.7 KBytes       
[  6]  59.00-60.00  sec  0.00 Bytes  0.00 Mbits/sec    3   1.41 KBytes       
[  6]  60.00-61.00  sec  0.00 Bytes  0.00 Mbits/sec    1   5.66 KBytes       
[  6]  61.00-62.00  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  6]  62.00-63.00  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  6]  63.00-64.00  sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
[  6]  64.00-65.00  sec  63.6 KBytes  0.52 Mbits/sec    0   18.4 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-65.00  sec  2.16 MBytes  0.28 Mbits/sec   50             sender
[  6]   0.00-65.45  sec  2.03 MBytes  0.26 Mbits/sec                  receiver

iperf Done.
